RoutePair,flights_scheduled,flights_operated,cancellations,cancellation_rate,pct_delay_ge15,pct_delay_ge60,ontime_pct,avg_arrival_delay_min
ATL-LAX,11342,11250,52,0.4584729324634103,17.555555555555554,3.9644444444444447,82.44444444444444,1.1472888888888888
JFK-ORD,3151,3077,67,2.126309108219613,27.59181020474488,11.342216444588885,72.40818979525511,11.435814104647385
