RoutePair,flights_scheduled,flights_operated,cancellations,cancellation_rate,pct_delay_ge15,pct_delay_ge60,ontime_pct,avg_arrival_delay_min
ATL-LAX,7630,7567,42,0.5504587155963303,16.836262719703978,3.568124752213559,83.16373728029602,0.6549491211840888
JFK-ORD,1980,1953,24,1.2121212121212122,26.216077828981057,10.650281618023554,73.78392217101894,10.58883768561188
