RoutePair,n_operated,otp_prop,otp_ci_lower,otp_ci_upper
ATL-LAX,11250,0.8244444444444444,0.8174142425585149,0.8314746463303739
JFK-ORD,3077,0.7240818979525512,0.7082884750256228,0.7398753208794796
