RoutePair,AIRLINE_DELAY,WEATHER_DELAY,AIR_SYSTEM_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
ATL-LAX,42532.0,6214.0,21239.0,51.0,27233.0
JFK-ORD,11481.0,4496.0,22946.0,127.0,21368.0
